justica,ano,tribunal_uf,baixados,novos,pendentes,ufn,idhm,t_analf18m,rdpc,pop
Estadual,2020,AP,31388,45139,701298,Amapá,0.708,9.09,598.98,664167
Estadual,2020,BA,587401,612601,21496850,Bahia,0.66,17.73,496.73,13933018
Estadual,2020,CE,260354,185812,7911439,Ceará,0.682,20.14,460.63,8403301
Estadual,2020,DF,203452,183546,2273261,Distrito Federal,0.824,3.66,1715.11,2543802
Estadual,2020,ES,199423,132472,6385469,Espírito Santo,0.74,8.62,815.43,3492253
Estadual,2020,GO,353814,311189,10081568,Goiás,0.735,8.46,810.97,5962442
Estadual,2020,MA,304740,217929,8959901,Maranhão,0.639,22.51,360.34,6547083
Estadual,2020,MG,968817,928547,30375810,Minas Gerais,0.731,8.83,749.69,19471105
Estadual,2020,MS,177249,188902,5014972,Mato Grosso do Sul,0.729,8.21,799.34,2420666
Estadual,2020,MT,236644,212107,475565,Mato Grosso,0.725,9.07,762.52,3008271
Estadual,2020,PA,179579,145585,7708051,Pará,0.646,12.58,446.76,7524487
Estadual,2020,PB,271299,114643,5490603,Paraíba,0.658,23.39,474.94,3744722
Estadual,2020,PE,285682,259408,8812823,Pernambuco,0.673,19.12,525.64,8744596
Estadual,2020,PI,133937,124606,4972242,Piauí,0.646,24.55,416.93,3102747
Estadual,2020,PR,718167,714116,21400512,Paraná,0.749,6.69,890.89,10379795
Estadual,2020,RJ,1256549,761217,39609217,Rio de Janeiro,0.761,4.47,1039.3,15895915
Estadual,2020,RN,192716,128383,3885265,Rio Grande do Norte,0.684,19.74,545.42,3151549
Estadual,2020,RO,132633,122437,1787093,Rondônia,0.69,9.42,670.82,1547341
Estadual,2020,RR,26411,24510,378633,Roraima,0.707,11.01,605.59,445981
Estadual,2020,RS,581757,572493,18119854,Rio Grande do Sul,0.746,4.75,959.24,10618321
Estadual,2020,SC,420282,263270,8436982,Santa Catarina,0.774,4.37,983.9,6211299
Estadual,2020,SE,135160,119194,1719930,Sergipe,0.665,19.72,523.53,2054725
Estadual,2020,SP,2426814,1812651,54311947,São Paulo,0.783,4.53,1084.46,40944103
Estadual,2020,TO,85346,91817,2191840,Tocantins,0.699,14.14,586.62,1373823
Estadual,2021,AC,29742,31658,658662,Acre,0.663,17.79,522.15,728620
Estadual,2021,AL,90533,97551,2830406,Alagoas,0.631,26.09,432.56,3092407
Estadual,2021,AM,214852,223463,4670701,Amazonas,0.674,10.47,539.8,3460784
Estadual,2021,AP,38883,64886,798491,Amapá,0.708,9.09,598.98,664167
Estadual,2021,BA,722451,665313,22388043,Bahia,0.66,17.73,496.73,13933018
Estadual,2021,CE,227956,198526,6420009,Ceará,0.682,20.14,460.63,8403301
Estadual,2021,DF,195666,200168,2139033,Distrito Federal,0.824,3.66,1715.11,2543802
Estadual,2021,ES,289014,180634,7148874,Espírito Santo,0.74,8.62,815.43,3492253
Estadual,2021,GO,2429651,339132,11134273,Goiás,0.735,8.46,810.97,5962442
Estadual,2021,MA,404374,253858,7953745,Maranhão,0.639,22.51,360.34,6547083
Estadual,2021,MG,1428537,1012371,28088224,Minas Gerais,0.731,8.83,749.69,19471105
Estadual,2021,MS,210086,224687,5439444,Mato Grosso do Sul,0.729,8.21,799.34,2420666
Estadual,2021,MT,269271,241731,5674061,Mato Grosso,0.725,9.07,762.52,3008271
Estadual,2021,PA,224279,179986,7512190,Pará,0.646,12.58,446.76,7524487
Estadual,2021,PB,275654,143145,4176493,Paraíba,0.658,23.39,474.94,3744722
Estadual,2021,PE,273996,315794,9221396,Pernambuco,0.673,19.12,525.64,8744596
Estadual,2021,PI,135011,168838,4643795,Piauí,0.646,24.55,416.93,3102747
Estadual,2021,PR,646864,630034,17067493,Paraná,0.749,6.69,890.89,10379795
Estadual,2021,RJ,1329568,871225,36706924,Rio de Janeiro,0.761,4.47,1039.3,15895915
Estadual,2021,RN,213251,165886,3956859,Rio Grande do Norte,0.684,19.74,545.42,3151549
Estadual,2021,RO,125840,137907,1809241,Rondônia,0.69,9.42,670.82,1547341
Estadual,2021,RR,28801,28465,365541,Roraima,0.707,11.01,605.59,445981
Estadual,2021,RS,677400,709061,21140762,Rio Grande do Sul,0.746,4.75,959.24,10618321
Estadual,2021,SC,452777,365228,9295191,Santa Catarina,0.774,4.37,983.9,6211299
Estadual,2021,SE,121010,135223,1812236,Sergipe,0.665,19.72,523.53,2054725
Estadual,2021,SP,2685944,2067330,60102627,São Paulo,0.783,4.53,1084.46,40944103
Estadual,2021,TO,90246,90347,1981976,Tocantins,0.699,14.14,586.62,1373823
